data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.3974399950926664,0.3731038923135949,0.4217760978717183,5092433,0.03903777217814496,8917,5591,96366,5135329,1,5,1,3326,53470,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.25,0.25,0.25,0.005005930404764837,0.0004974114951350826,0.009514449314394649,745160,0.004559405264600427,8917,8913,96366,837612,1,5,1,4,3914,0
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.4937645624223782,0.48611795032375643,0.5014111745210257,1672670,0.015107155755867416,8917,4583,96366,1689770,1,2,1,4334,79266,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.44432018250697597,0.0007594743539000642,0.8878808906600364,64282424,0.44432018250697597,8917,8917,96366,64378646,1,65,1,0,144,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.75,0.75,0.75,0.015791513953952424,0.00012732526924031127,0.03145570263866465,2523079,0.015791513953952424,8917,8917,96366,2619075,1,24,1,0,370,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.00,0.00,0.0,0.2631409859465699,0.2512762097601577,0.2750057621329816,1889663,0.01595534545239997,8917,6677,96366,1966616,1,5,1,2240,19413,0
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.32357643720270884,0.07420368036181134,0.5729491940436132,36342684,0.2697030456736665,8917,8259,96366,36430198,1,2,1,658,8852,0
yago,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,,0.18579561039710513,0.16008438267159183,0.21150683812260784,5080780,0.03082093259622129,8917,7491,96366,5139919,1,2,1,1426,37227,0
yago,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,,0.015955769927312534,0.015592176508641288,0.016319363345983866,59524,0.0003734200298911799,8917,8778,96366,152505,1,2,1,139,3385,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#1.00,1.00,1.0,0.013911326982176231,3.737444378357276e-05,0.027785279520568775,2229130,0.013911326982176231,8917,8917,96366,2323968,1,7,1,0,1528,0
