anonymized_anonymity,num_anonymized_edges,num_removed_edges,data,calgo,min_k,num_raw_edges,alpha_adm,anonymized_attribute_anonymity,anonymized_degree_anonymity,handler_str,enforcer,enforcer_str,gen,gen_str,num_anonymized_fake_entities,max_k,sample,max_dist,range_k,za,info_loss_args_str,info_loss,alpha_dm,num_fake_edges,num_anonymized_entities,calgo_str,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
1,840820,1093,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.75,zipf,"zipf#5,50,5,2",0,50,-1,0.75,5,2.0,"0.50,0.50",adm,0.5,745547,8917,vac,1,0.00470438288168653,3.7817768135679426e-05,0.009370947995237409,0.00470438288168653,8917,0
1,840820,1093,yago,vac,5,96366,0.5,5,1,n,ms,ms#1.00,zipf,"zipf#5,50,5,2",0,50,-1,1.0,5,2.0,"0.50,0.50",adm,0.5,745547,8917,vac,1,0.00470438288168653,3.7817768135679426e-05,0.009370947995237409,0.00470438288168653,8917,0
1,853458,3471,yago,vac,5,96366,0.5,5,1,n,sr,sr,zipf,"zipf#5,50,5,2",0,50,-1,,5,2.0,"0.50,0.50",adm,0.5,760563,8870,vac,0,0.01007394601933059,0.005320486468552299,0.014827405570108932,0.0048286978287593076,8917,47
1,1106709,54742,yago,km,5,96366,0.5,6,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1065085,5223,km#mean,0,0.41943428443911984,0.41428976690809727,0.4245788019701335,0.008840506853032178,8917,3694
1,1138205,52384,yago,km,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1094223,5611,km#mean,2,0.37606785649489294,0.37078342575377543,0.38135228723600395,0.008461651970983437,8917,3306
1,1156157,52255,yago,km,5,96366,0.5,19,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1112046,5608,km#mean,1,0.37653305948873533,0.3711167773692596,0.38194934160821264,0.008669498445314667,8917,3309
1,1172596,53429,yago,km,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1129659,5591,km#min,0,0.3784731001225846,0.3730359127688001,0.3839102874763582,0.008755514240533412,8917,3326
1,1184577,52055,yago,km,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1140266,5669,km#min,1,0.36984240423011727,0.36427826342719527,0.37540654503303167,0.008813169482827933,8917,3248
1,1205058,51922,yago,km,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,1160614,5768,km#min,2,0.35877431245947405,0.3531876558402956,0.3643609690786476,0.008719265753105297,8917,3149
1,1472088,79032,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1454754,4585,km#mean,2,0.4927374793169346,0.4858964547873543,0.4995785038465019,0.013541781107726742,8917,4332
1,1547375,77777,yago,km,2,96366,0.5,2,1,n,sr,sr,te,"te#2,5,1",0,5,-1,,1,,"0.50,0.50",adm,0.5,1528786,4756,km#min,0,0.47382148948703523,0.4667107492471997,0.480932229726864,0.013531292715477488,8917,4161
1,1689770,79266,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1672670,4583,km#min,0,0.4937645624223782,0.48611795032375643,0.5014111745210257,0.015107155755867416,8917,4334
1,1706587,79375,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1689596,4573,km#min,1,0.49497587142404603,0.4872398549120911,0.5027118879360241,0.015316152742000438,8917,4344
1,1709514,77652,yago,km,2,96366,0.5,2,1,n,sr,sr,te,"te#2,5,1",0,5,-1,,1,,"0.50,0.50",adm,0.5,1690800,4753,km#mean,0,0.47497311479299203,0.467047776367435,0.48289845321856206,0.015069760196059146,8917,4164
1,1717298,79309,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1700241,4572,km#min,2,0.4951695919635639,0.48734331455370544,0.5029958693734327,0.01547058686015785,8917,4345
1,1881518,79375,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1864527,4572,km#mean,0,0.4959737937671506,0.4873580260050639,0.5045895615292368,0.017052695760466367,8917,4345
1,1890574,79725,yago,km,2,96366,0.5,2,1,n,sr,sr,zipf,"zipf#2,5,1,2",0,5,-1,,1,2.0,"0.50,0.50",adm,0.5,1873933,4558,km#mean,1,0.49741433795968487,0.48891919113892385,0.5059094847804458,0.01684395563028453,8917,4359
