calgo_str,enforcer,info_loss_args_str,gen,alpha_dm,sample,enforcer_str,max_dist,anonymized_anonymity,alpha_adm,data,anonymized_attribute_anonymity,num_anonymized_edges,info_loss,num_removed_edges,max_k,handler_str,anonymized_degree_anonymity,za,gen_str,range_k,min_k,num_anonymized_entities,num_anonymized_fake_entities,calgo,num_raw_edges,num_fake_edges,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,49,1097887,adm,1785,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1055892,1,0.027369848287343717,0.0013637600000000825,0.05337593657468757,0.02620138832738556,5000,6
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,50,1118352,adm,435,50,n,2,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1075007,2,0.027821356200331365,0.001462933333333417,0.05417977906732934,0.026653498347888258,5000,6
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,50,1125914,adm,1181,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1083315,0,0.028301227665445447,0.00140396000000007,0.05519849533089098,0.027133910881530977,5000,6
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1069936,adm,1988,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1028144,0,0.02555126318410422,9.527999999999525e-05,0.05100724636820835,0.02555126318410422,5000,0
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1092917,adm,1151,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1050288,2,0.026090578814623143,0.00018999999999998947,0.051991157629246595,0.026090578814623143,5000,0
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,50,1125081,adm,613,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1081914,1,0.026805453350481172,0.0002178666666666556,0.05339304003429561,0.026805453350481172,5000,0
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,25,1094868,adm,508,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1051596,0,0.02601440919882541,0.0002309466666666538,0.051797871730984275,0.02601440919882541,5000,0
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,50,1123111,adm,1194,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1080525,1,0.026972196381062345,0.00016517333333332471,0.053779219428791145,0.026972196381062345,5000,0
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,50,1125590,adm,965,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1082775,2,0.026877405868478206,0.0002408133333333184,0.053513998403622864,0.026877405868478206,5000,0
hdbscan#min,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,2,19209154,adm,2035,5,n,1,,"te#2,5,1",1,2,4998,0,hdbscan,43780,19167409,0,0.32110274658336097,0.0005566799999999903,0.6416488131667211,0.3208311103760516,5000,2
hdbscan#min,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,622,19808547,adm,459,50,n,1,,"te#5,50,5",5,5,4985,0,hdbscan,43780,19765226,0,0.33390566247437076,0.003496566666666616,0.6643147582820739,0.33190211591338453,5000,15
hdbscan#min,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19204381,adm,2216,5,n,1,2.0,"zipf#2,5,1,2",1,2,4966,0,hdbscan,43780,19162817,0,0.32747843186679276,0.006914346666666587,0.6480425170669201,0.3228743690165693,5000,34
hdbscan#min,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19216913,adm,1668,5,n,1,2.0,"zipf#2,5,1,2",1,2,4981,0,hdbscan,43780,19174801,2,0.3245504821873208,0.004054933333333615,0.6450460310413062,0.32197447139961277,5000,19
hdbscan#min,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19218123,adm,1610,5,n,1,2.0,"zipf#2,5,1,2",1,2,4967,0,hdbscan,43780,19175953,1,0.3273571953661458,0.006872000000000564,0.6478423907322903,0.32288916743473395,5000,33
hdbscan#min,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,622,19808547,adm,459,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,19765226,1,0.33390566247437076,0.003496566666666616,0.6643147582820739,0.33190211591338453,5000,15
