num_removed_edges,num_fake_edges,num_raw_edges,sample,calgo_str,gen_str,max_k,alpha_dm,num_anonymized_entities,info_loss,info_loss_args_str,max_dist,num_anonymized_fake_entities,enforcer,num_anonymized_edges,za,anonymized_attribute_anonymity,min_k,anonymized_anonymity,enforcer_str,gen,handler_str,alpha_adm,anonymized_degree_anonymity,range_k,data,calgo,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
1425,54672,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,79823,2.0,1,5,1,ms#0.75,zipf,n,0.5,1,5,email,km,2,0.18028026180398618,0.03987822083611791,0.3206823027718545,0.18028026180398618,1005,0
1449,27414,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,52541,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,2,0.08366150767130932,0.02020148016138218,0.14712153518123725,0.08366150767130932,1005,0
1549,20200,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,45227,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,0,0.17601799106811342,0.0051513576396623835,0.34688462449656454,0.17601799106811342,1005,0
1582,29155,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,54149,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,1,0.0951074761232926,0.020681666295388715,0.16953328595119718,0.0951074761232926,1005,0
1672,28153,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,53057,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,2,0.0880290091829411,0.021497487685948374,0.1545605306799336,0.0880290091829411,1005,0
1672,28153,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,53057,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,2,0.0880290091829411,0.021497487685948374,0.1545605306799336,0.0880290091829411,1005,0
1770,13535,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,38341,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,1,0.03763814191303604,0.0102443008836415,0.06503198294243076,0.03763814191303604,1005,0
1830,14183,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,38929,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,2,0.042729953643297444,0.010714586272617009,0.07474532101397774,0.042729953643297444,1005,0
1852,59842,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,84566,2.0,1,5,1,ms#0.75,zipf,n,0.5,1,5,email,km,2,0.16375411499715364,0.046413702631123,0.28109452736318474,0.16375411499715364,1005,0
1997,27371,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,51950,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,2,0.1807878164260433,0.011469023043984066,0.3501066098081034,0.1807878164260433,1005,0
2031,46906,26576,-1,hdbscan#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,71451,2.0,3,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,1,0.0822475398416591,0.04115937724313736,0.12333570244018072,0.0822475398416591,1005,0
2031,46906,26576,-1,hdbscan#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,71451,2.0,3,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,1,0.0822475398416591,0.04115937724313736,0.12333570244018072,0.0822475398416591,1005,0
2032,47035,26576,-1,hdbscan#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,71579,2.0,3,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,2,0.08231882520588278,0.04130194797158467,0.12333570244018072,0.08231882520588278,1005,0
2032,47035,26576,-1,hdbscan#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,71579,2.0,3,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,2,0.08231882520588278,0.04130194797158467,0.12333570244018072,0.08231882520588278,1005,0
2122,54039,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,78493,2.0,1,5,1,ms#0.75,zipf,n,0.5,1,5,email,km,1,0.15835534481112568,0.04099403480111897,0.2757166548211331,0.15835534481112568,1005,0
