range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#min,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.002734461734228699,0.002719423281960022,0.002719423281960022,0.0,5000.0,0.0,104.66666666666667,0.002734461734228699
1,hdbscan#min,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,kp,,hdbscan,0.0,0.002724314788193155,0.002707937970340199,0.002707937970340199,0.0,5000.0,0.0,720.0,0.002724314788193155
1,hdbscan#min,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.002744451218166249,0.002730118945322001,0.002730118945322001,0.0,5000.0,0.0,104.33333333333333,0.002744451218166249
1,hdbscan#min,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,kp,,hdbscan,0.0,0.0027515079089615196,0.0027356443650772386,0.0027356443650772386,0.0,5000.0,0.0,709.0,0.0027515079089615196
1,hdbscan#min,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.002760893188906224,0.0027455177938380936,0.0027455177938380936,0.0,5000.0,0.0,113.33333333333333,0.002760893188906224
1,hdbscan#min,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,ms,,hdbscan,0.0,0.002048774482648354,0.0012939922522477727,0.0012939922522477727,2.0,5000.0,0.0,0.0,0.0016487744826483542
1,hdbscan#min,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,ms,2.0,hdbscan,1.0,0.008254501593351915,0.0023643269874020155,0.0023643269874020155,28.666666666666668,5000.0,0.0,0.0,0.0025211682600185833
1,hdbscan#min,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,ms,,hdbscan,0.0,0.0016231165018781282,0.0012781630928577652,0.0012781630928577652,0.0,5000.0,0.0,0.0,0.0016231165018781282
1,hdbscan#min,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,ms,2.0,hdbscan,1.0,0.0025664354771346327,0.002395121424063574,0.002395121424063574,0.0,5000.0,0.0,0.0,0.0025664354771346327
1,hdbscan#min,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,ms,,hdbscan,0.0,0.0016244065771865478,0.0012888913992017614,0.0012888913992017614,0.0,5000.0,0.0,0.0,0.0016244065771865478
