data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,kp,kp#0,0,0.8779588981312441,0.01069044966936703,0.01069044966936703,7817,8917,0,0,0.0013187725284629062,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,kp,kp#1.00,1.00,0.01717475588377257,0.016462690480114443,0.016462690480114443,0,8917,0,42,0.01717475588377257,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.25,0.25,0.004918431968753441,0.0025976340869345834,0.0025976340869345834,3,8917,0,0,0.004581995947670117,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.50,0.50,0.004751521831852837,0.0026258831985141212,0.0026258831985141212,1,8917,0,0,0.00463937649149173,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.75,0.75,0.004655585507394429,0.002646936469690228,0.002646936469690228,0,8917,0,0,0.004655585507394429,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0,0,0.007916514972437911,0.0025551815998713567,0.0025551815998713567,32,8917,0,0,0.004327864080882454,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#1.00,1.00,0.004655585507394429,0.002646936469690228,0.002646936469690228,0,8917,0,0,0.004655585507394429,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,0.007916514972437911,0.0025551815998713567,0.0025551815998713567,32,8917,0,0,0.004327864080882454,,2.0
yago,-1,anony,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#0.50,0.50,0.0018453746149819203,0.0018140576014036799,0.0018140576014036799,0,8917,0,212,0.0018453746149819203,0.5,2.0
yago,-1,anony,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#0.75,0.75,0.0018461705668450436,0.0018145469886381308,0.0018145469886381308,0,8917,0,249,0.0018461705668450436,0.75,2.0
