info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,vac,5,email,"zipf#2,5,1,2",0.5,0.0,vac,adm,1,1.0,0.00893759112516074,0.004487869843956626,0.004487869843956626,3.0,1005.0,0.0,0.0,0.005952516498295067
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#max,adm,1,1.0,0.011465510636818272,0.010532441752538868,0.010532441752538868,0.0,1005.0,0.0,0.0,0.011465510636818272
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#mean,adm,1,1.0,0.011002332568382902,0.009723343785282947,0.009723343785282947,0.3333333333333333,1005.0,0.0,0.0,0.010670657609842272
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.25,hdbscan#min,adm,1,1.0,0.011207313350329602,0.010062522202183533,0.010062522202183533,0.3333333333333333,1005.0,0.0,0.0,0.010875638391788971
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#max,adm,1,1.0,0.015518875652535713,0.006449174514129071,0.006449174514129071,8.333333333333334,1005.0,0.0,0.0,0.007227001689019956
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#mean,adm,1,1.0,0.028664283415898467,0.009516493671592208,0.009516493671592208,18.333333333333332,1005.0,0.0,0.0,0.010422160696163812
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.25,km#min,adm,1,1.0,0.032612724107489076,0.00935804562906086,0.00935804562906086,22.333333333333332,1005.0,0.0,0.0,0.010390501885266858
"0.50,0.50",anony,2,2.0,zipf,ms#0.25,-1,n,0.5,ms,vac,5,email,"zipf#2,5,1,2",0.5,0.25,vac,adm,1,1.0,0.006776706375726203,0.004567479448355589,0.004567479448355589,0.6666666666666666,1005.0,0.0,0.0,0.006113356458644943
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#max,adm,1,1.0,0.011359938049623944,0.0105682773144162,0.0105682773144162,0.0,1005.0,0.0,0.0,0.011359938049623944
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#mean,adm,1,1.0,0.010497111693369207,0.00973020098063943,0.00973020098063943,0.0,1005.0,0.0,0.0,0.010497111693369207
